order_id,amount_cents,stripe_charge_id,created_at
ord_2001,1000,ch_demo_001,2024-03-01T10:00:00+00:00
ord_2002,2500,ch_demo_002,2024-03-02T11:00:00+00:00
ord_2003,4999,ch_demo_003,2024-03-03T12:00:00+00:00
ord_2004,9900,ch_demo_004,2024-03-04T09:30:00+00:00
ord_2005,14999,ch_demo_005,2024-03-05T14:00:00+00:00
ord_2006,3500,ch_demo_006,2024-03-06T08:45:00+00:00
ord_2007,7500,ch_demo_007,2024-03-07T16:20:00+00:00
ord_2008,500,ch_demo_008,2024-03-08T10:00:00+00:00
ord_2009,12500,ch_demo_009,2024-03-09T13:15:00+00:00
ord_2010,6000,ch_demo_010,2024-03-10T09:00:00+00:00
ord_2011,8000,ch_demo_011,2024-03-11T11:30:00+00:00
ord_2012,2000,ch_demo_012,2024-03-12T14:00:00+00:00
ord_2013,5000,ch_demo_013,2024-03-13T10:45:00+00:00
ord_2014,11000,ch_demo_014,2024-03-14T09:00:00+00:00
ord_2015,3000,ch_demo_015,2024-03-15T12:30:00+00:00
ord_2016,19900,ch_demo_016,2024-03-16T15:00:00+00:00
ord_2017,750,ch_demo_017,2024-03-17T08:00:00+00:00
ord_2018,4999,ch_demo_018,2024-03-18T10:00:00+00:00
ord_2019,12900,ch_demo_019,2024-03-19T11:00:00+00:00
ord_2020,7500,ch_ghost_999,2024-03-20T09:00:00+00:00
